id_masa,id_club,cod_masa,tip_masa,tarif_orar,activa
1,1,M01,pool,35,1
2,1,M02,pool,35,1
3,1,M03,snooker,40,1
4,1,M04,pool,35,1
5,1,M05,pool,40,1
6,2,M01,pool,35,1
7,2,M02,pool,35,1
8,2,M03,snooker,45,1
9,2,M04,snooker,40,1
10,2,M05,pool,35,1
11,2,M06,pool,35,1
12,3,M01,snooker,75,1
13,3,M02,pool,50,1
14,3,M03,pool,55,1
15,3,M04,snooker,75,1
16,3,M05,pool,60,1
17,3,M06,carambol,50,1
18,4,M01,snooker,45,1
19,4,M02,snooker,45,1
20,4,M03,pool,35,1
21,4,M04,snooker,45,1
22,4,M05,pool,35,1
23,4,M06,snooker,45,1
24,5,M01,pool,35,1
25,5,M02,pool,40,1
26,5,M03,pool,35,1
27,5,M04,pool,35,1
28,5,M05,snooker,45,1
29,5,M06,snooker,45,1
30,5,M07,snooker,45,1
31,5,M08,pool,35,1
32,5,M09,pool,40,1
33,5,M10,pool,35,1
34,6,M01,pool,40,1
35,6,M02,snooker,50,1
36,6,M03,pool,35,1
37,6,M04,snooker,45,1
38,6,M05,snooker,45,0
39,6,M06,pool,35,1
40,6,M07,pool,35,1
41,7,M01,pool,35,1
42,7,M02,pool,35,0
43,7,M03,pool,40,1
44,7,M04,pool,35,1
45,7,M05,pool,35,1
46,8,M01,pool,35,1
47,8,M02,pool,35,1
48,8,M03,pool,35,1
49,8,M04,snooker,45,1
50,8,M05,carambol,30,1
51,9,M01,pool,25,1
52,9,M02,carambol,25,1
53,9,M03,pool,30,1
54,9,M04,pool,25,1
55,9,M05,pool,25,1
56,10,M01,pool,55,1
57,10,M02,pool,50,0
58,10,M03,pool,60,1
59,10,M04,snooker,75,1
60,10,M05,pool,55,1
61,10,M06,snooker,75,1
62,11,M01,pool,25,1
63,11,M02,pool,25,1
64,11,M03,pool,25,1
65,11,M04,pool,25,1
66,11,M05,snooker,30,1
67,11,M06,snooker,30,1
68,11,M07,pool,25,0
69,12,M01,snooker,35,1
70,12,M02,pool,25,1
71,12,M03,pool,25,1
72,12,M04,pool,25,1
73,12,M05,pool,25,1
74,12,M06,pool,30,1
75,12,M07,snooker,35,1
76,13,M01,pool,55,1
77,13,M02,pool,60,1
78,13,M03,pool,55,1
79,13,M04,pool,50,1
80,13,M05,pool,55,1
81,13,M06,snooker,75,1
82,14,M01,snooker,70,1
83,14,M02,pool,50,1
84,14,M03,pool,55,1
85,14,M04,pool,55,1
86,14,M05,pool,55,1
87,14,M06,carambol,50,1
88,14,M07,snooker,75,1
89,15,M01,snooker,45,1
90,15,M02,pool,40,1
91,15,M03,snooker,40,1
92,15,M04,pool,40,1
93,15,M05,pool,30,1
94,16,M01,pool,25,1
95,16,M02,pool,25,1
96,16,M03,pool,25,1
97,16,M04,snooker,35,1
98,16,M05,carambol,20,1
99,16,M06,pool,25,1
100,17,M01,pool,35,1
101,17,M02,pool,35,0
102,17,M03,snooker,50,1
103,17,M04,pool,35,1
104,18,M01,snooker,50,1
105,18,M02,pool,35,1
106,18,M03,snooker,45,1
107,18,M04,snooker,45,0
108,18,M05,pool,35,1
109,18,M06,pool,35,1
110,18,M07,pool,40,1
111,18,M08,pool,35,1
