id_meci,id_rezervare,id_jucator_1,id_jucator_2,scor_1,scor_2,id_castigator,tip,stare
1,13,1599,28,,,,privat,fara_rezultat
2,16,1599,1364,3,4,1364,privat,finalizat
3,17,1618,225,0,3,225,privat,finalizat
4,18,2081,2226,1,4,2226,privat,finalizat
5,19,2081,2226,1,3,2226,privat,finalizat
6,20,1428,741,5,0,1428,privat,finalizat
7,29,1618,225,,,,privat,fara_rezultat
8,30,2226,2081,4,0,2226,privat,finalizat
9,33,28,1039,1,3,1039,privat,finalizat
10,35,28,1918,3,2,28,deschis,finalizat
11,37,787,536,,,,deschis,fara_rezultat
12,38,28,1918,5,2,28,privat,finalizat
13,41,1428,741,4,0,1428,privat,finalizat
14,42,787,536,3,0,787,privat,finalizat
15,43,1599,1918,3,2,1599,privat,finalizat
16,46,67,741,1,3,741,privat,finalizat
17,48,28,1039,2,5,1039,privat,finalizat
18,49,1700,1599,3,0,1700,privat,finalizat
19,51,787,536,,,,deschis,fara_rezultat
20,56,646,536,1,4,536,privat,finalizat
21,59,869,1401,,,,deschis,fara_rezultat
22,64,744,171,3,2,744,privat,finalizat
23,65,1618,225,0,4,225,privat,finalizat
24,67,1886,2163,3,5,2163,deschis,finalizat
25,68,1401,869,0,3,869,privat,finalizat
26,69,787,1261,0,5,1261,privat,finalizat
27,72,2169,311,4,1,2169,privat,finalizat
28,73,744,171,4,1,744,privat,finalizat
29,74,1748,,,,,deschis,expirat
30,75,2095,787,,,,privat,fara_rezultat
31,77,2169,,,,,deschis,expirat
32,78,2169,1401,,,,privat,fara_rezultat
33,79,1053,28,,,,privat,fara_rezultat
34,82,744,171,5,1,744,deschis,finalizat
35,94,269,1748,1,5,1748,deschis,finalizat
36,95,1401,869,0,3,869,privat,finalizat
37,96,744,,,,,deschis,expirat
38,99,741,67,,,,privat,fara_rezultat
39,101,2095,1028,1,5,1028,privat,finalizat
40,104,2095,1028,3,2,2095,deschis,finalizat
41,105,869,311,3,1,869,privat,finalizat
42,107,787,1028,5,2,787,privat,finalizat
43,111,1345,938,2,3,938,privat,finalizat
44,114,2169,1401,,,,deschis,fara_rezultat
45,115,869,311,5,1,869,privat,finalizat
46,119,744,,,,,deschis,expirat
